year|bib|age_group|gender|country|rank_gender|rank_age_group|5k|10k|15k|20k|half|25k|30k|35k|40k|finish
 2015|F3803|H|W|GER|3660|589|1889.0|3695.0|5481.0|7291.0|7679.0|9109.0|10939.0|12757.0|14490.0|15220.0
 2015|F1334|35-39|W|GER|3659|598|1802.0|3567.0|5334.0|7174.0|7555.0|8990.0|10821.0|12633.0|14442.0|15219.0
 2015|F4593|40-44|W|SWE|3658|722|1665.0|3320.0|5025.0|6811.0|7195.0|8621.0|10494.0|12410.0|14410.0|15218.0
 2015|F9417|45-49|W|BRA|3657|604|1836.0|3695.0|5486.0|7262.0|7626.0|8961.0|10712.0|12496.0|14384.0|15217.0
 2015|F3454|30-34|W|MEX|3656|641|1851.0|3660.0|5458.0|7257.0|7646.0|9051.0|10850.0|12635.0|14451.0|15217.0
 2015|F2754|40-44|W|SUI|3655|721|1796.0|3587.0|5373.0|7181.0|7573.0|9017.0|10862.0|12699.0|14496.0|15216.0
 2015|F11924|H|W|GER|3653|587|1626.0|3253.0|4922.0|6591.0|6957.0|8329.0|10163.0|12086.0|14432.0|15215.0
 2015|F7600|H|W|SWE|3653|587|1646.0|3296.0|4933.0|6639.0|7015.0|8469.0|10436.0|12360.0|14482.0|15215.0
 2015|F1711|H|W|GER|3652|586|1808.0|3639.0|5464.0|7174.0|7540.0|8891.0|10652.0|12461.0|14390.0|15214.0
 2015|F4465|H|W|GER|3651|585|1808.0|3639.0|5463.0|7175.0|7540.0|8891.0|10652.0|12461.0|14390.0|15214.0
 2015|F5019|45-49|W|GER|3650|603|1687.0|3410.0|5175.0|6994.0|7403.0|8842.0|10676.0|12502.0|14377.0|15214.0
 2015|F3855|40-44|W|GBR|3649|720|1851.0|3659.0|5457.0|7200.0|7587.0|8972.0|10802.0|12606.0|14408.0|15214.0
 2015|F3333|30-34|W|MEX|3648|640|1759.0|3546.0|5340.0|7121.0|7516.0|8975.0|10813.0|12629.0|14444.0|15213.0
 2015|F7118|30-34|W|USA|3647|639|1629.0|3277.0|4937.0|6646.0|7012.0|8435.0|10406.0|12150.0|14392.0|15212.0
 2015|F11956|H|W|NED|3646|584|1812.0|3616.0|5468.0|7280.0|7675.0|9106.0|10925.0|12663.0|14419.0|15211.0
 2015|F2423|30-34|W|NED|3645|638|1606.0|3243.0|4946.0|6634.0|7001.0|8363.0|10134.0|12104.0|14322.0|15211.0
 2015|F4269|30-34|W|GER|3644|637|1632.0|3292.0|4946.0|6669.0|7051.0|8490.0|10425.0|12426.0|14433.0|15211.0
 2015|F3934|45-49|W|SUI|3643|602|1765.0|3544.0|5306.0|7089.0|7482.0|8896.0|10699.0|12538.0|14410.0|15210.0
 2015|F7451|35-39|W|NOR|3642|597|1710.0|3450.0|5140.0|6880.0|7254.0|8643.0|10494.0|12354.0|14336.0|15210.0
 2015|F3669|55-59|W|GER|3641|124|1845.0|3632.0|5449.0|7294.0|7682.0|9082.0|10876.0|12658.0|14433.0|15210.0
 2015|F1789|H|W|NED|3640|583|1784.0|3551.0|5272.0|7068.0|7461.0|8911.0|10734.0|12550.0|14413.0|15208.0
 2015|F8724|30-34|W|BRA|3639|636|1711.0|3430.0|5176.0|6928.0|7307.0|8715.0|10528.0|12375.0|14347.0|15208.0
 2015|F10870|35-39|W|SWE|3638|596|1760.0|3563.0|5320.0|7155.0|7545.0|9050.0|10879.0|12676.0|14452.0|15208.0
 2015|F11915|30-34|W|GER|3637|635|1806.0|3605.0|5385.0|7174.0|7562.0|9030.0|10873.0|12666.0|14459.0|15208.0
 2015|F7571|45-49|W|GER|3636|601|1767.0|3545.0|5316.0|7113.0|7506.0|8939.0|10753.0|12563.0|14405.0|15207.0
 2015|F11091|40-44|W|DEN|3635|719|1764.0|3567.0|5378.0|7237.0|7620.0|9030.0|10909.0|12739.0|14510.0|15206.0
 2015|F5609|45-49|W|GER|3634|600|1776.0|3551.0|5327.0|7110.0|7495.0|8923.0|10751.0|12548.0|14409.0|15205.0
 2015|F6680|H|W|CHN|3633|582|1846.0|3652.0|5447.0|7250.0|7630.0|9013.0|10769.0|12488.0|14339.0|15205.0
 2015|F2114|30-34|W|GBR|3632|634|1616.0|3253.0|4908.0|6636.0|7021.0|8529.0|10477.0|12396.0|14394.0|15203.0
 2015|F1653|40-44|W|NOR|3631|718|1874.0|3758.0|5617.0|7429.0|7822.0|9168.0|10898.0|12616.0|14420.0|15203.0
 2015|F10899|45-49|W|GER|3630|599|1569.0|3185.0|4821.0|6449.0|6809.0|8386.0|10387.0|12364.0|14358.0|15202.0
 2015|F5538|55-59|W|SUI|3629|123|1780.0|3541.0|5295.0|7040.0|7429.0|8834.0|10660.0|12501.0|14350.0|15202.0
 2015|F981|40-44|W|NOR|3628|717|1795.0|3606.0|5433.0|7218.0|7606.0|9011.0|10814.0|12610.0|14436.0|15200.0
 2015|F4304|45-49|W|GER|3627|598|1769.0|3561.0|5315.0|7088.0|7478.0|8892.0|10725.0|12520.0|14374.0|15200.0
 2015|F3243|40-44|W|NOR|3626|716|1756.0|3493.0|5225.0|6963.0|7338.0|8737.0|10592.0|12436.0|14375.0|15198.0
 2015|F7080|40-44|W|FRA|3625|715|1681.0|3411.0|5140.0|6905.0|7297.0|8741.0|10638.0|12523.0|14405.0|15197.0
 2015|F1492|30-34|W|FRA|3624|633|1794.0|3538.0|5237.0|6978.0|7360.0|8745.0|10596.0|12462.0|14407.0|15195.0
 2015|F6334|50-54|W|DEN|3623|342|1678.0|3388.0|5082.0|6816.0|7291.0|8689.0|10544.0|12387.0|14329.0|15195.0
 2015|F1239|50-54|W|FIN|3622|341|1700.0|3387.0|5071.0|6808.0|7183.0|8591.0|10450.0|12343.0|14354.0|15194.0
 2015|F9493|55-59|W|SUI|3621|122|1640.0|3322.0|5041.0|6814.0|7192.0|8624.0|10461.0|12370.0|14345.0|15193.0
 2015|F2865|30-34|W|GER|3620|632|1761.0|3495.0|5179.0|6946.0|7316.0|8714.0|10599.0|12537.0|14435.0|15193.0
 2015|F4922|30-34|W|AUT|3619|631|1643.0|3367.0|5110.0|6876.0|7256.0|8687.0|10566.0|12479.0|14335.0|15193.0
 2015|F5198|45-49|W|GER|3618|597|1774.0|3546.0|5322.0|7109.0|7501.0|8920.0|10724.0|12530.0|14396.0|15192.0
 2015|F3959|35-39|W|GER|3617|595|1820.0|3674.0|5391.0|7110.0|7474.0|8798.0|10544.0|12355.0|14336.0|15191.0
 2015|F9562|55-59|W|NOR|3616|121|1607.0|3215.0|4881.0|6596.0|6973.0|8438.0|10391.0|12271.0|14276.0|15190.0
 2015|F1185|H|W|GER|3615|581|1789.0|3608.0|5345.0|7107.0|7483.0|8914.0|10812.0|12598.0|14428.0|15190.0
 2015|F3438|40-44|W|GER|3614|714|1785.0|3554.0|5342.0|7111.0|7498.0|8911.0|10714.0|12536.0|14422.0|15189.0
 2015|F2288|35-39|W|DEN|3613|594|1832.0|3641.0|5432.0|7192.0|7571.0|8964.0|10761.0|12577.0|14414.0|15188.0
 2015|F1349|45-49|W|GER|3612|596|1803.0|3602.0|5359.0|7135.0|7517.0|8939.0|10758.0|12572.0|14402.0|15188.0
 2015|F11558|35-39|W|GER|3611|593|1711.0|3459.0|5181.0|6941.0|7320.0|8755.0|10622.0|12466.0|14370.0|15187.0
 2015|F888|H|W|GBR|3610|580|1707.0|3441.0|5121.0|6800.0|7169.0|8593.0|10528.0|12473.0|14408.0|15186.0
 2015|F5361|45-49|W|DEN|3609|595|1789.0|3573.0|5371.0|7152.0|7538.0|8937.0|10732.0|12537.0|14389.0|15186.0
 2015|F2391|35-39|W|ITA|3608|592|1560.0|3172.0|4821.0|6514.0|6891.0|8343.0|10239.0|12208.0|14341.0|15186.0
 2015|F6544|40-44|W|BEL|3607|713|1720.0|3526.0|5234.0|6939.0|7305.0|8684.0|10514.0|12367.0|14310.0|15185.0
 2015|F4495|30-34|W|GER|3606|630|1687.0|3385.0|5086.0|6822.0|7193.0|8651.0|10553.0|12494.0|14348.0|15185.0
 2015|F6955|H|W|SWE|3605|579|1802.0|3596.0|5354.0|7112.0|7494.0|8882.0|10750.0|12546.0|14398.0|15184.0
 2015|F5489|50-54|W|FRA|3604|340|1748.0|3403.0|5105.0|6831.0|7210.0|8557.0|10295.0|12093.0|14349.0|15183.0
 2015|F11789|40-44|W|GER|3603|712|1774.0|3539.0|5318.0|7102.0|7489.0|8889.0|10685.0|12506.0|14379.0|15182.0
 2015|F4364|40-44|W|SUI|3602|711|1681.0|3357.0|5074.0|6827.0|7211.0|8627.0|10510.0|12392.0|14347.0|15182.0
 2015|F6789|30-34|W|HKG|3601|629|1701.0|3428.0|5141.0|6878.0|7259.0|8658.0|10458.0|12319.0|14309.0|15182.0
 2015|F5297|H|W|GER|3600|578|1677.0|3254.0|4822.0|6414.0|6757.0|8018.0|9693.0|11772.0|14161.0|15181.0
 2015|F3414|50-54|W|GER|3599|339|1721.0|3441.0|5140.0|6894.0|7280.0|8704.0|10555.0|12410.0|14366.0|15181.0
 2015|F9021|40-44|W|DEN|3598|710|1733.0|3456.0|5205.0|6956.0|7338.0|8781.0|10634.0|12514.0|14396.0|15180.0
 2015|F12468|H|W|FRA|3597|577|1635.0|3274.0|4864.0|6489.0|6838.0|8126.0|9930.0|11975.0|14285.0|15178.0
 2015|F2276|30-34|W|KOR|3596|628|1890.0|3746.0|5538.0|7372.0|7765.0|9201.0|10955.0|12689.0|14454.0|15178.0
 2015|F10006|55-59|W|GER|3595|120|1707.0|3456.0|5185.0|6913.0|7295.0|8702.0|10528.0|12375.0|14328.0|15177.0
 2015|F4816|45-49|W|DEN|3594|594|1739.0|3522.0|5259.0|7024.0|7412.0|8834.0|10660.0|12491.0|14365.0|15177.0
 2015|F7456|40-44|W|BRA|3593|709|1629.0|3255.0|4886.0|6661.0|7016.0|8313.0|10184.0|12244.0|14366.0|15177.0
 2015|F2129|60-64|W|ESP|3592|32|1785.0|3587.0|5483.0|7275.0|7664.0|9090.0|10895.0|12651.0|14419.0|15176.0
 2015|F12000|H|W|USA|3591|576|1619.0|3171.0|4734.0|6420.0|6792.0|8226.0|10280.0|12461.0|14361.0|15175.0
 2015|F8794|H|W|GER|3590|575|1800.0|3590.0|5335.0|7114.0|7503.0|8907.0|10705.0|12525.0|14391.0|15175.0
 2015|F4605|45-49|W|GER|3589|593|1595.0|3270.0|4881.0|6519.0|6881.0|8235.0|10098.0|12075.0|14166.0|15171.0
 2015|F10215|45-49|W|IRL|3588|592|1801.0|3544.0|5216.0|6892.0|7266.0|8671.0|10534.0|12421.0|14377.0|15171.0
 2015|F11418|35-39|W|MEX|3587|591|1672.0|3371.0|5093.0|6803.0|7252.0|8699.0|10720.0|12574.0|14347.0|15170.0
