year|bib|age_group|gender|city|state|country|overall|rank_gender|rank_age_group|5k|10k|15k|20k|half|25k|30k|35k|40k|finish
 2017|6619|40-44|M|Mexico|CDMX|MEX|1819|1598|315|1328.0|2638.0|NaN|5401.0|5707.0|6774.0|8133.0|9502.0|10917.0|11520.0
 2017|10257|40-44|M|Atlanta|GA|CHN|1818|1597|314|1447.0|2768.0|4081.0|5408.0|5703.0|6734.0|8071.0|9436.0|10908.0|11519.0
 2017|9138|35-39|M|Chicago|IL|USA|1817|1596|351|1306.0|2571.0|3833.0|5212.0|5502.0|6546.0|7911.0|9304.0|10850.0|11519.0
 2017|3512|45-49|M|Vilnius||LTU|1816|1595|145|1336.0|2695.0|4045.0|5395.0|5692.0|6755.0|8110.0|9505.0|10931.0|11519.0
 2017|7393|40-44|M|Bridgewater|NJ|IND|1815|1594|313|1316.0|2622.0|3945.0|5286.0|5584.0|6654.0|8028.0|9441.0|10912.0|11518.0
 2017|7252|25-29|M|Richmond|VA|USA|1814|1593|279|1367.0|2722.0|4070.0|5424.0|5720.0|6780.0|8138.0|9502.0|10919.0|11517.0
 2017|3207|40-44|M|Gibraltar||GBR|1813|1592|312|1302.0|2594.0|3883.0|5154.0|5443.0|6458.0|7821.0|9285.0|10915.0|11516.0
 2017|10045|35-39|M|Chicago|IL|USA|1812|1591|350|1338.0|2673.0|4019.0|5370.0|5671.0|6719.0|8066.0|9441.0|10894.0|11516.0
 2017|2568|45-49|M|Saskatoon|SK|CAN|1811|1590|144|1390.0|2733.0|4074.0|5407.0|5697.0|6740.0|8093.0|9480.0|10928.0|11515.0
 2017|3107|55-59|M|Redmond|WA|USA|1810|1589|14|1297.0|2605.0|3913.0|5224.0|5512.0|6555.0|7938.0|9366.0|10884.0|11514.0
 2017|97|35-39|M|Chicago|IL|USA|1809|1588|349|1106.0|2207.0|3317.0|4420.0|4666.0|5544.0|6676.0|7906.0|10153.0|11514.0
 2017|1523|30-34|M|North Little Rock|AR|USA|1808|1587|339|1392.0|2782.0|4142.0|5507.0|5796.0|6838.0|8190.0|9554.0|10943.0|11514.0
 2017|15275|30-34|M|Hamburg|HAMBURG|GER|1807|1586|338|1302.0|2600.0|3900.0|5224.0|5518.0|6568.0|7962.0|9402.0|10897.0|11514.0
 2017|6047|30-34|M|New York|NY|USA|1806|1585|337|1288.0|2573.0|3871.0|5162.0|5451.0|6490.0|7869.0|9312.0|10885.0|11513.0
 2017|1832|25-29|M|London|LONDON|GBR|1804|1584|278|1273.0|2548.0|3803.0|5070.0|5349.0|6359.0|7737.0|9241.0|10880.0|11510.0
 2017|726|45-49|M|Farra Di Soligo (tv)|TREVISO|ITA|1803|1583|143|1234.0|2478.0|3728.0|4974.0|5250.0|6232.0|7520.0|8963.0|10821.0|11509.0
 2017|3413|30-34|M|Le Plessis Robinson||FRA|1802|1582|336|1287.0|2598.0|3909.0|5225.0|5508.0|6527.0|7872.0|9261.0|10819.0|11508.0
 2017|9165|40-44|M|Jacksonville|FL|USA|1801|1581|311|1338.0|2671.0|4021.0|5373.0|5673.0|6719.0|8071.0|9425.0|10907.0|11508.0
 2017|5295|30-34|M|Highland Park|IL|USA|1800|1580|335|1189.0|2408.0|3634.0|5059.0|5341.0|6355.0|7739.0|9245.0|10859.0|11507.0
 2017|4369|50-54|M|Mexico City|MEXICO CITY|ESP|1799|1579|79|1322.0|2655.0|4009.0|5370.0|5657.0|6707.0|8075.0|9479.0|10909.0|11507.0
 2017|10092|30-34|M|Chicago|IL|USA|1798|1578|334|1302.0|2581.0|3853.0|5180.0|5476.0|6639.0|8024.0|9423.0|10927.0|11507.0
 2017|10156|30-34|M|Mountain View|CA|USA|1796|1577|333|1304.0|2618.0|3928.0|5255.0|5546.0|6579.0|7935.0|9338.0|10888.0|11506.0
 2017|5563|40-44|M|Ann Arbor|MI|USA|1795|1576|310|1344.0|2680.0|4033.0|5383.0|5681.0|6725.0|NaN|9440.0|10903.0|11506.0
 2017|2089|45-49|M|London|LONDON|GBR|1794|1575|142|1342.0|2701.0|4054.0|5422.0|5720.0|6777.0|8149.0|9515.0|10917.0|11505.0
 2017|506|40-44|M|Uplengen-Remels|GERMANY|GER|1793|1574|309|1273.0|2568.0|3884.0|5207.0|5501.0|6548.0|7918.0|9361.0|10887.0|11505.0
 2017|4223|25-29|M|Brookland|AR|USA|1791|1573|277|1363.0|2703.0|4048.0|5402.0|5696.0|6739.0|8120.0|9472.0|10898.0|11502.0
 2017|4582|45-49|M|A Coruna|A CORUnA|ESP|1790|1572|141|1343.0|2656.0|3980.0|5318.0|5609.0|6660.0|8018.0|9418.0|10886.0|11502.0
